Genre,Title,Movements,Year,Date,Natural Language Date,EDTF Date,Date Source,Where,Instrumentation,Orchestration,Estimated Duration,Manuscript Status French,Manuscript Status English,Collaborator?,Text Source,Scanned,Dedication,Notes,Premiere,Recording,Tempo Charted
Arrangements,La poule(Rameau),,1929,Mar-39,,,Score,,Organ,,,inédit,,Rameau transcription by Decruck,,,,,,,
Arrangements,Sœur Monique (Couperin),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Arrangements,Toccata sur le jeu du coucou (Pasquini),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,1e Quatuor à cordes en ré majeur,(1- allegro con spirito ; 2-lomtamente molto espressivo ; 3- scherzetto in fuga ; 4- allegretto energico con stripito),?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,1er recueil ,1- Fugue en duo ; 2- Pastorale rustique ; 3- Intermission ; 4- The Spinning Wheel ; 5- Two Brothers,,,,,,,,,,,,,,,,,,,
Chamber Music,1e Sonate en trio,(1- quasi unia fantasia ; 2- Pastourelle ; 3-leggieroso),?,,,,,,,,,Editions Costallat (SACEM),,,,,,,,,
Chamber Music,1e Sonatine pour piano,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,"1e Trio pour flûte, violoncelle et piano",,?,,,,,,,,,perdu,,,,,,,,,
Chamber Music,2e Chant lyrique pour saxophone alto mi bémol avec accompagnement piano,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,2e Quatuor à cordes,(4 mouvements),?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,2e Recueil ,1- Ostinato ; 2- Jazz et fugue ; 3- Romance et double ; 4- Ecossaise ; 5- Prélude et valse ; 5- Introduction et tierces,,,,,,,,,,,,,,,,,,,
Chamber Music,2e Sonatine pour piano,(1- allegro moderato ; 2-andantino ; 3-4- deux menuets enchaînés ; 5-allegro),1946,,,,,,,,,"Editions Costallat, 1946",,,,,,,,,
Chamber Music,"2e trio pour flûte, violoncelle et piano",,?,,,,,,,,,perdu,,,,,,,,,
Chamber Music,3e Chant lyrique pour saxophone alto mi bémol avec accompagnement piano,,1937,,,,Score,,"Alto Saxophone, Piano",,,"Editions Buffet-Crampon, 1937",POP @ AD,,,X,,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music,3e Quatuor à cordes,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,"3e trio pour flûte, violoncelle et piano","1- Lentement, très expressif (allegro moderato) ; 2- Vif et léger (dans le goût d’un scherzetto de dessin animé) ; 3- Modéré, très léger",1944,7-May,,,Score,Voulx,"Flute, Cello, Piano",,,inédit,Manuscript @ AD,,,X,No,,,,
Chamber Music,4e Chant lyrique pour saxophone solo,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,5e Chant lyrique pour saxophone alto mi bémol avec accompagnement piano,,1934,31-Oct,,,SACEM,,"Alto Saxophone , Piano",,,Editions Buffet-Crampon,POP @ AD,,,X,,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music,6e Chant lyrique pour saxophone solo,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music,Adagio pour Concerto pour violoncelle et orchestre Réduction de l’adagio pour violoncelle et orgue,,1944,22-Sep,,,Score,Paris,"Cello , Organ",,,inédit,Manuscript @ AD,,,X,,Reduced from Adagio movement of the cello concerto,,,
Chamber Music,Air Grave pour instruments grave,,1932,1-Mar,,,Score,New York?,"Low Instruments , Piano",,,LOC,Manuscript @ LOC,,,X,,,,,
Chamber Music,Andante de la Sonate pour violon et piano; transcription pour violoncelle et orgue par l'auteur,,?,,,,,,"Cello , Piano",,,inédit,Manuscript @ AD,,,X,,,,,
Chamber Music,Apaisement pour violoncelle et piano ou violon et violoncelle,,1948-49,,,,SACEM,Fontainebleau,"Violin or Cello , Piano",,3:00,inédit,Manuscript @ AD,,,X,,,,,
Chamber Music,Aria quatuor de saxophones,,?,,,,,,,,,inédit (SACEM),C,,,,,,,,
