Genre,Title,Movements,Year,Date,Natural Language Date,EDTF Date,Date Source,Where,Instrumentation,Orchestration,Estimated Duration,Manuscript Status French,Manuscript Status English,Collaborator?,Text Source,Scanned,Dedication,Notes,Premiere,Recording,Tempo Charted
Arrangements,La poule (Rameau),,1929,3/29,"March 29, 1929",1929-03-29,Score,,Organ,,,inédit,,Rameau transcription by Decruck,,,,,,,
Arrangements,Sœur Monique (Couperin),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Arrangements,Toccata sur le jeu du coucou (Pasquini),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,1e Quatuor à cordes en ré majeur,1- Allegro con spirito; 2-Lomtamente molto espressivo; 3- Scherzetto in fuga; 4- Allegretto energico con stripito,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,1er recueil,1- Fugue en duo; 2- Pastorale rustique; 3- Intermission; 4- The Spinning Wheel; 5- Two Brothers,,,,,,,,,,,,,,,,,,,
Chamber Music/Musique de chambre,1e Sonate en trio,1- Quasi unia fantasia; 2- Pastourelle; 3-Leggieroso,?,,,,,,,,,Editions Costallat (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,1e Sonatine pour piano,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,"1e Trio pour flûte, violoncelle et piano",,?,,,,,,,,,perdu,,,,,,,,,
Chamber Music/Musique de chambre,2e Chant lyrique pour saxophone alto mi bémol avec accompagnement piano,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,2e Quatuor à cordes,,?,,,,,,,,,inédit (SACEM),,,,,,4 movements--titles unknown,,,
Chamber Music/Musique de chambre,2e Recueil,1- Ostinato; 2- Jazz et fugue; 3- Romance et double; 4- Ecossaise; 5- Prélude et valse; 5- Introduction et tierces,,,,,,,,,,,,,,,,,,,
Chamber Music/Musique de chambre,2e Sonatine pour piano,1- Allegro moderato; 2- Andantino; 3-4- Deux menuets enchaînés; 5- Allegro,1946,,,,,,,,,"Editions Costallat, 1946",,,,,,,,,
Chamber Music/Musique de chambre,"2e trio pour flûte, violoncelle et piano",,?,,,,,,,,,perdu,,,,,,,,,
Chamber Music/Musique de chambre,3e Chant lyrique pour saxophone alto mi bémol avec accompagnement piano,,1937,,1937,1937,Score,,"Alto Saxophone, Piano",,,"Editions Buffet-Crampon, 1937",POP @ AD,,,X,,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music/Musique de chambre,3e Quatuor à cordes,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,"3e trio pour flûte, violoncelle et piano","1- Lentement, très expressif (allegro moderato); 2- Vif et léger (dans le goût d’un scherzetto de dessin animé); 3- Modéré, très léger",1944,5/7,"May 7, 1944",1944-05-07,Score,Voulx,"Flute, Cello, Piano",,,inédit,Manuscript @ AD,,,X,No,,,,
Chamber Music/Musique de chambre,4e Chant lyrique pour saxophone solo,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,5e Chant lyrique pour saxophone alto mi bémol avec accompagnement piano,,1934,10/31,"October 31, 1934",1934-10-31,SACEM,,"Alto Saxophone, Piano",,,Editions Buffet-Crampon,POP @ AD,,,X,,,,Jean-Pierre Baraglioli-saxophone,
